시점,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2014,474712.0,0.0,25.0,1262.0,0.0,0.0,70.0,51.0,0.0,2272.0,2225.0,56667.0,23427.0,28598.0,5058.0,292340.0,62716.0,0.0
2015,582845.0,0.0,27.0,1548.0,0.0,0.0,51.0,80.0,0.0,2740.0,4472.0,69242.0,24560.0,34688.0,5320.0,372627.0,67491.0,0.0
2016,576369.0,0.0,89.0,1627.0,81.0,0.0,322.0,342.0,0.0,2234.0,5778.0,69846.0,26924.0,41008.0,9274.0,367710.0,51134.0,0.0
2017,545349.0,0.0,13.0,1322.0,21.0,0.0,199.0,327.0,19.0,1762.0,5550.0,66661.0,29343.0,40694.0,7621.0,338034.0,53782.0,1.0
2018,475303.0,0.0,15.0,509.0,50.0,21.0,153.0,167.0,157.0,992.0,5506.0,51580.0,17878.0,28597.0,3984.0,315230.0,50461.0,1.0
2019,535324.0,0.0,55.0,378.0,87.0,35.0,90.0,19.0,198.0,1699.0,10486.0,52376.0,24189.0,40020.0,5471.0,338085.0,62136.0,0.0
2020,422115.0,0.0,28.0,647.0,63.0,20.0,11.0,61.0,0.0,1563.0,8215.0,42477.0,17147.0,22804.0,2944.0,277942.0,48194.0,0.0
2021,515931.0,0.0,45.0,752.0,46.0,25.0,164.0,170.0,40.0,3001.0,23503.0,52133.0,22717.0,35142.0,1635.0,309034.0,67524.0,0.0
2022,566041.0,0.0,49.0,990.0,19.0,31.0,200.0,420.0,24.0,3333.0,24852.0,58640.0,24371.0,42618.0,2351.0,330532.0,77610.0,1.0
2023,394428.0,0.0,108.0,641.0,52.0,15.0,112.0,284.0,12.0,2779.0,19729.0,36063.0,14093.0,26183.0,1080.0,244990.0,48286.0,1.0
