"시도별(1)","전답별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국","계",-1.2,-0.7,-2.1,-1.4,-1.6,-0.9,-1.0,-1.2,-1.2,-1.1
"전국","논",-3.1,-2.7,-1.4,-3.4,-2.4,-1.7,-0.7,-5.3,-0.6,-1.5
"전국","밭",1.3,1.8,-3.0,1.1,-0.6,0.0,-1.4,3.4,-1.8,-0.6
"서울특별시","계",-23.7,-0.8,-11.3,-4.7,-12.3,-1.6,-1.0,80.1,-0.9,-0.9
"서울특별시","논",-3.8,-1.7,0.0,-4.8,-4.9,-5.9,-3.4,35.1,-2.9,5.4
"서울특별시","밭",-31.8,-0.6,-18.0,-4.6,-17.6,2.0,0.7,112.9,0.0,-3.8
"부산광역시","계",-1.0,-5.4,-1.2,-3.2,-2.9,-3.1,-1.9,-5.0,-4.2,-0.7
"부산광역시","논",-2.1,-7.6,-4.1,-3.1,-4.7,-4.5,-4.7,-19.0,-0.4,0.4
"부산광역시","밭",0.7,-2.2,2.7,-3.3,-0.5,-1.2,1.5,10.9,-7.2,-1.8
"대구광역시","계",-1.9,-4.3,-2.3,-0.5,-5.0,-2.5,-0.2,-5.6,-1.7,-1.4
"대구광역시","논",-1.0,-13.2,4.1,-0.8,-11.5,-0.6,0.0,-24.2,11.0,-0.1
"대구광역시","밭",-2.8,5.2,-7.9,-0.2,1.4,-4.1,-0.3,10.9,-9.4,-2.3
"인천광역시","계",0.3,0.1,-3.0,-2.6,-3.3,-0.7,-0.9,-2.6,-0.7,-0.9
"인천광역시","논",0.0,-1.1,-5.4,-3.9,-5.5,-1.9,-0.9,10.6,-1.0,-0.8
"인천광역시","밭",0.8,2.5,1.8,-0.1,0.7,1.3,-0.9,-24.1,0.1,-1.1
"광주광역시","계",-2.4,-1.0,-3.7,-4.4,-1.3,-0.8,-1.8,3.1,-1.4,-1.0
"광주광역시","논",-2.8,-2.2,-6.8,-3.8,-2.3,-0.6,-0.6,-20.0,0.4,8.3
"광주광역시","밭",-1.8,1.1,1.8,-5.3,0.6,-1.2,-3.9,42.6,-3.1,-10.2
"대전광역시","계",-5.0,-1.8,-5.4,-4.5,-2.4,-1.4,-4.4,10.7,-2.6,-3.3
"대전광역시","논",-11.3,-1.4,-3.9,-5.6,-4.0,-3.0,-5.3,-11.5,-3.0,-2.6
"대전광역시","밭",-0.9,-2.0,-6.3,-3.9,-1.5,-0.4,-3.9,23.2,-2.5,-3.6
"울산광역시","계",-0.6,-3.2,-1.0,-3.2,-4.5,-0.9,-1.1,-6.0,-3.1,-2.1
"울산광역시","논",-5.5,-5.9,-3.3,-4.9,-2.7,-3.7,-0.8,-15.5,-3.5,-4.5
"울산광역시","밭",6.7,0.4,1.7,-1.2,-6.6,2.6,-1.4,4.7,-2.8,0.1
"세종특별자치시","계",-18.1,-2.2,-1.9,-1.8,-3.2,-1.5,-0.4,-2.6,-4.6,-2.9
"세종특별자치시","논",-9.8,-3.7,-3.5,-2.2,-2.8,-3.1,-0.2,-12.7,-4.8,-3.2
"세종특별자치시","밭",-27.7,0.0,0.3,-1.2,-3.7,0.6,-0.7,10.3,-4.4,-2.7
"경기도","계",-0.5,-0.3,-3.4,-2.2,-1.9,-1.5,-2.2,-2.8,-1.4,-1.8
"경기도","논",-2.2,-1.1,-2.6,-4.8,-2.8,-2.5,-1.6,-2.2,-1.2,-3.5
"경기도","밭",1.7,0.5,-4.4,1.0,-0.8,-0.4,-2.8,-3.4,-1.7,0.1
"강원도","계",-1.5,-1.3,-2.7,-1.1,-1.5,-0.8,-1.5,2.9,-1.0,-0.9
"강원도","논",-4.1,-2.5,-3.1,-5.5,-4.2,-1.4,-2.3,-3.6,-2.0,-2.9
"강원도","밭",0.1,-0.7,-2.5,1.3,-0.1,-0.5,-1.1,6.1,-0.6,0.0
"충청북도","계",-2.1,-0.5,-2.2,-1.9,-3.9,-0.9,-1.0,-2.8,-2.0,-1.4
"충청북도","논",-6.0,-1.4,-1.6,-7.5,-4.7,-0.8,-0.8,-6.9,-0.6,-1.4
"충청북도","밭",0.7,0.1,-2.5,1.9,-3.5,-1.0,-1.1,-0.3,-2.8,-1.4
"충청남도","계",-2.4,-0.2,-1.7,-0.9,-0.8,-0.5,-0.9,4.2,-0.8,-0.9
"충청남도","논",-3.2,-1.2,-0.8,-1.9,-1.2,-0.6,-0.5,-2.2,-0.2,-1.1
"충청남도","밭",-0.5,2.2,-3.7,1.6,0.3,-0.4,-1.7,18.8,-2.0,-0.5
"전라북도","계",0.0,-0.5,-1.4,-0.8,-0.8,-1.2,-0.7,-1.1,-0.6,-0.7
"전라북도","논",-2.8,-2.5,-1.1,-1.9,-1.5,-3.1,-0.6,0.2,-0.1,-1.8
"전라북도","밭",6.4,3.7,-1.9,1.5,0.5,2.3,-0.9,-3.5,-1.6,1.5
"전라남도","계",-0.8,-0.4,-2.2,-1.4,-1.0,-0.9,-0.6,-1.9,-1.4,-1.0
"전라남도","논",-2.1,-1.4,-0.9,-3.1,-2.1,-2.8,-0.4,-0.6,-0.9,-1.3
"전라남도","밭",1.4,1.4,-4.2,1.3,0.6,2.0,-1.0,-3.6,-2.2,-0.5
"경상북도","계",-0.7,-1.1,-2.2,-1.0,-1.4,-0.7,-1.1,-3.1,-1.1,-1.0
"경상북도","논",-3.3,-6.6,-0.8,-3.6,-2.1,-0.3,-0.5,-13.2,-0.1,-1.7
"경상북도","밭",2.1,4.1,-3.4,1.2,-0.7,-1.0,-1.7,5.4,-1.9,-0.5
"경상남도","계",-1.9,-1.5,-1.7,-1.7,-1.6,-1.0,-0.7,-2.6,-1.4,-1.1
"경상남도","논",-4.3,-4.2,-1.2,-4.5,-3.3,-0.9,-0.4,-19.1,-1.3,0.4
"경상남도","밭",2.2,2.8,-2.4,2.5,0.7,-1.2,-1.2,19.3,-1.4,-2.5
"제주도","계",-0.3,-0.1,-0.8,-1.7,-2.9,-0.5,-0.7,-3.9,-0.7,-0.6
"제주도","논",-40.6,-5.0,-5.8,0.0,-0.2,0.0,0.0,-20.3,-9.7,0.0
"제주도","밭",-0.2,-0.1,-0.8,-1.7,-2.9,-0.5,-0.7,-3.9,-0.7,-0.6
